year,revenue,cogs,selling_exp,admin_exp,finance_exp,net_profit,inventory,stores_end,gross_profit,gross_margin,net_margin
2019,84876960043.74,66577989193.0,13782073241.31,2013332928.53,351146096.06,1515000000.0,12333394618.37,911,18298970850.740005,21.559408868213374,1.784936688612868
2020,93199107664.03,73280513427.89,15438729869.72,2293027943.94,223461312.38,1794470167.16,10881679092.38,1017,19918594236.14,21.372086852959793,1.9254156098026376
2021,91061894312.13,74027000000.0,16629508068.6,2155455991.88,1551693676.48,-3944000000.0,10791491206.86,1057,17034894312.130005,18.706940417624118,-4.331120091221993
2022,90090819396.14,72361000000.0,15849737690.89,2046416100.93,1538197292.52,-2763000000.0,10466589497.14,1033,17729819396.14,19.679940214751387,-3.0669051724912855
2023,78642171577.01,61943000000.0,14680133439.44,1887145956.28,1323052505.11,-1329000000.0,8268982538.27,1000,16699171577.009995,21.234372401145365,-1.6899329880515606
2024,67573824099.64,53750592739.02,13058916133.33,1791779893.01,1137528657.4,-1465455921.36,7058383162.12,775,13823231360.620003,20.456488210933806,-2.1686739516164324
